2022 Resident Population by Metropolitan Statistical Area (Thousands of Persons)
Series ID,Region Name,Region Code,2022-01-01
"NHMPOP","New Haven-Milford, CT","35300","869.527"
"NORPOP","New Orleans-Metairie, LA","35380","1246.176"
"NYTPOP","New York-Newark-Jersey City, NY-NJ-PA","35620","19617.869"
"BNHPOP","Niles-Benton Harbor, MI","35660","152.9"
"SARPOP","North Port-Sarasota-Bradenton, FL","35840","891.411"
"NLOPOP","Norwich-New London, CT","35980","268.681"
"OCLPOP","Ocala, FL","36100","396.415"
"OCIPOP","Ocean City, NJ","36140","95.634"
"ODEPOP","Odessa, TX","36220","160.869"
"OCRPOP","Ogden-Clearfield, UT","36260","713.839"
"OKCPOP","Oklahoma City, OK","36420","1459.38"
"OLYPOP","Olympia-Tumwater, WA","36500","298.758"
"OMAPOP","Omaha-Council Bluffs, NE-IA","36540","976.671"
"ORLPOP","Orlando-Kissimmee-Sanford, FL","36740","2764.182"
"OSNPOP","Oshkosh-Neenah, WI","36780","170.718"
"OWNPOP","Owensboro, KY","36980","121.348"
"VENPOP","Oxnard-Thousand Oaks-Ventura, CA","37100","832.605"
"MELPOP","Palm Bay-Melbourne-Titusville, FL","37340","630.693"
"PALPOP","Palm Coast, FL","37380",""
"PANPOP","Panama City, FL","37460","185.134"
"PKMPOP","Parkersburg-Vienna, WV","37620","88.431"
"PASPOP","Pascagoula, MS","37700",""
"PENPOP","Pensacola-Ferry Pass-Brent, FL","37860","523.146"
"PEOPOP","Peoria, IL","37900","396.466"
"PCWPOP","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","37980","6241.164"
"PHXPOP","Phoenix-Mesa-Scottsdale, AZ","38060","5015.678"
"PBFPOP","Pine Bluff, AR","38220","84.629"
"PITPOP","Pittsburgh, PA","38300","2349.172"
"PTSPOP","Pittsfield, MA","38340","127.859"
"POLPOP","Pocatello, ID","38540","97.585"
"PTLPOP","Portland-South Portland, ME","38860","561.576"
"PORPOP","Portland-Vancouver-Hillsboro, OR-WA","38900","2509.489"
"FPRPOP","Port St. Lucie, FL","38940","520.71"
"POUPOP","Poughkeepsie-Newburgh-Middletown, NY","39100","703.486"
"PRCPOP","Prescott, AZ","39140","246.191"
"PRIPOP","Providence-Warwick, RI-MA","39300","1673.802"
"PRVPOP","Provo-Orem, UT","39340","715.001"
"PUEPOP","Pueblo, CO","39380","169.544"
"PGAPOP","Punta Gorda, FL","39460","202.661"
"RACPOP","Racine, WI","39540","195.846"
"RCYPOP","Raleigh, NC","39580","1484.338"
"RPCPOP","Rapid City, SD","39660","145.159"
"RDGPOP","Reading, PA","39740","430.449"
"RDDPOP","Redding, CA","39820","180.93"
"RENPOP","Reno, NV","39900","500.915"
"RCPPOP","Richmond, VA","40060","1339.182"
"RSBPOP","Riverside-San Bernardino-Ontario, CA","40140","4667.558"
"RKEPOP","Roanoke, VA","40220","314.34"
"ROTPOP","Rochester, MN","40340","228.073"
"ROHPOP","Rochester, NY","40380","1081.152"
"RDCPOP","Rockford, IL","40420","335.342"
"RKMPOP","Rocky Mount, NC","40580","144.09"
"RMEPOP","Rome, GA","40660","99.443"
"SYOPOP","Sacramento--Roseville--Arden-Arcade, CA","40900","2416.702"
"SAGPOP","Saginaw, MI","40980","188.33"
"STCPOP","St. Cloud, MN","41060","201.868"
"STGPOP","St. George, UT","41100","197.68"
"SJSPOP","St. Joseph, MO-KS","41140","119.69"
"STLPOP","St. Louis, MO-IL","41180","2801.319"
"SALPOP","Salem, OR","41420","436.317"
"SSMPOP","Salinas, CA","41500","432.858"
"SBYPOP","Salisbury, MD-DE","41540","439.032"
"SLCPOP","Salt Lake City, UT","41620","1266.191"
"SNAPOP","San Angelo, TX","41660","121.839"
"SATPOP","San Antonio-New Braunfels, TX","41700","2655.342"
"SDIPOP","San Diego-Carlsbad, CA","41740","3276.208"
"SDKPOP","Sandusky, OH","41780",""
"SFCPOP","San Francisco-Oakland-Hayward, CA","41860","4579.599"
"SSCPOP","San Jose-Sunnyvale-Santa Clara, CA","41940","1938.524"
"SLOPOP","San Luis Obispo-Paso Robles-Arroyo Grande, CA","42020","282.013"
"SCZPOP","Santa Cruz-Watsonville, CA","42100","264.37"
"STFPOP","Santa Fe, NM","42140","155.664"
"SANPOP","Santa Maria-Santa Barbara, CA","42200",""
"SMBPOP","Santa Maria-Santa Barbara, CA","42200","443.837"
"SROPOP","Santa Rosa, CA","42220","482.65"
"SAVPOP","Savannah, GA","42340","418.373"
"SWBPOP","Scranton--Wilkes-Barre--Hazleton, PA","42540","567.998"
"STWPOP","Seattle-Tacoma-Bellevue, WA","42660","4034.248"
"SVBPOP","Sebastian-Vero Beach, FL","42680","167.352"
"SHBPOP","Sheboygan, WI","43100","117.841"
"SHMPOP","Sherman-Denison, TX","43300","143.131"
"SHPPOP","Shreveport-Bossier City, LA","43340","385.154"
"SICPOP","Sioux City, IA-NE-SD","43580","149.24"
"SXFPOP","Sioux Falls, SD","43620","289.592"
"SBNPOP","South Bend-Mishawaka, IN-MI","43780","323.637"
"SPBPOP","Spartanburg, SC","43900","345.831"
"SPKPOP","Spokane-Spokane Valley, WA","44060","597.919"
"SPRPOP","Springfield, IL","44100","206.655"
"SPDPOP","Springfield, MA","44140","694.523"
"SPIPOP","Springfield, MO","44180","487.061"
"SPGPOP","Springfield, OH","44220","134.831"
"SCLPOP","State College, PA","44300","158.425"
"WEUPOP","Steubenville-Weirton, OH-WV","44600","114.235"
"STOPOP","Stockton-Lodi, CA","44700","793.229"
"SUMPOP","Sumter, SC","44940","134.925"
"SYRPOP","Syracuse, NY","45060","653.633"
"TALPOP","Tallahassee, FL","45220","390.992"
"TMAPOP","Tampa-St. Petersburg-Clearwater, FL","45300","3290.73"
"THEPOP","Terre Haute, IN","45460","184.875"
"TEXPOP","Texarkana, TX-AR","45500","146.408"
"TOLPOP","Toledo, OH","45780","640.384"
"TPKPOP","Topeka, KS","45820","231.783"
