mls_hash,listing_source_master_id,address,city,state,zip,property_type,price,listed_dt,pend_dt,is_in_listings
-2332705507528373497,242000,6128 Arcola Street,GARDEN CITY,MI,48135,100,160000,,2023-06-02,False
-2331171393254813613,229000,7014 Green Tee Ct #D,SAINT LOUIS COUNTY SOUTH,MO,63129,200,139900,,2023-06-02,False
-2330502394730405017,486000,309 Rancho Santa Fe Rd,ENCINITAS,CA,92024,100,1450000,,2023-06-02,False
-2330502390427569802,486000,1727 Red Barn Rd,ENCINITAS,CA,92024,100,1399000,,2023-06-02,False
-2330251680406022189,10000,7750 S 155 Avenue,OMAHA,NE,68138,200,239900,,2023-06-02,False
-2329809239272913846,837000,4200 Factoria Blvd SE #B14,BELLEVUE,WA,98006,400,489000,,2023-06-02,False
-2329764089281951676,207000,766 Brook Hollow Rd,NASHVILLE,TN,37205,100,899900,,2023-06-02,False
-2329759968634112815,229000,6910 Colonial Woods Dr #98,SAINT LOUIS COUNTY SOUTH,MO,63129,200,92900,,2023-06-02,False
-2329477663914884015,229000,6934 Colonial Woods Dr,SAINT LOUIS COUNTY SOUTH,MO,63129,200,95000,,2023-06-02,False
-2328944046026792108,531000,1383 Missile Base Road,JUDSONIA,AR,72081,100,299900,,2023-06-02,False
-2327913615252622705,740000,13208 N Oakcliff Road,OKLAHOMA CITY,OK,73120,100,579000,,2023-06-02,False
-2327875842066752325,513000,708 Prairie Court,LITTLE ELM,TX,75068,1300,688900,,2023-06-02,False
-2327875842066686718,513000,9320 Winding Creek Drive,LITTLE ELM,TX,75068,1300,412900,,2023-06-02,False
-2327875842066424325,513000,9224 Winding Creek Drive,LITTLE ELM,TX,75068,1300,423900,,2023-06-02,False
-2325572697704571319,722000,2120 Railyard Avenue #13,GRAYSON,GA,30017,200,448400,,2023-06-02,False
-2322254030651036730,881000,58 Stevens St,NEW HAVEN,CT,06519,1400,250000,,2023-06-02,False
-2321971738841625536,881000,607 Washington Ave,NEW HAVEN,CT,06519,1400,550000,,2023-06-02,False
-2321400274071054839,404000,2517 Glenarm Ave,PITTSBURGH,PA,15226,100,218000,,2023-06-02,False
-2321131009405489523,290000,11627 Olathe Street,COMMERCE CITY,CO,80022,100,790000,,2023-06-02,False
-2321118016687736442,404000,2346 Wolford St,PITTSBURGH,PA,15226,100,190000,,2023-06-02,False
-2320842601726713547,881000,129 Winthrop Ave,NEW HAVEN,CT,06519,1400,329900,,2023-06-02,False
-2320842597423156751,881000,11 Truman St,NEW HAVEN,CT,06519,1400,399000,,2023-06-02,False
-2319995739208559946,881000,15 Truman St,NEW HAVEN,CT,06519,1400,390000,,2023-06-02,False
-2319995726298807945,881000,29 Truman St,NEW HAVEN,CT,06519,1400,350000,,2023-06-02,False
